Entrez_IDs,Gene_Symbol,d0,d7,d12,d19,d26,d33,d49,d63,d77,Cluster,Radius,Angle,Autism,Holoprosencephaly,Microcephaly,Lissencephaly,Alzheimers,Tauopathy
3976,LIF,-0.6001291675,-1.774955933,-0.3484729693,-0.9035413707,-0.0851529366,0.6726807159,1.0232283882,1.0855964377,0.9307468352,5,2.4556365678,0.9305254928,no,no,no,no,no,no
3978,LIG1,1.5863257031,0.8215843202,0.7428099944,-0.003408396,0.7186616339,-0.9226564917,-0.9847616866,-0.9538065431,-1.0047485342,2,2.6095987025,4.4865454136,no,no,no,no,no,no
3980,LIG3,0.7103667336,0.2317951436,0.705864574,-0.1809036227,-0.0575267777,1.4606366726,0.1347206044,-1.1554258852,-1.8495274425,2,1.95943322,4.1000677573,no,no,no,no,no,no
3981,LIG4,-1.7486642723,-1.1587952099,-0.2386191536,0.0468796379,0.2812502885,1.4651270124,0.9778827358,0.5669342211,-0.1919952599,4,2.2484795742,1.7455527047,no,no,yes,no,no,no
3982,LIM2,-0.8766935591,-0.6938204491,-0.76663628,-0.7495036849,-0.6737910442,-0.1127870002,1.0526706586,1.5650719017,1.2554894571,6,2.5794546702,0.9781800256,no,no,no,no,no,no
3983,ABLIM1,-0.8288143339,-1.0299221363,-0.6874934933,-0.230904909,-0.4970554064,-0.3614456961,0.4979774015,1.2703132994,1.8673452743,6,2.6844174931,0.9430588037,no,no,no,no,no,no
3984,LIMK1,2.2571275708,0.1858178151,-0.3940821626,0.3280577804,-0.4126515716,0.31532861,-0.1647902423,-1.2508579249,-0.863949875,1,2.5116835098,4.9536442366,no,no,no,no,no,no
3987,LIMS1,2.5301414004,-1.0065842768,-0.2673430863,-0.447293561,-0.4555800537,-0.1602318542,0.008120949,0.0727182887,-0.2739478062,1,2.7046762687,5.5814049618,no,no,no,no,no,no
399,RHOH,-1.2425218707,-1.7195735106,-0.351624695,0.7870041579,1.0409237809,-0.2215037,1.2282927777,0.2489765383,0.2300265216,4,1.9597947132,1.5247701421,no,no,no,no,no,no
3990,LIPC,-1.4079924408,-1.3623289216,-0.892000475,1.2039126289,0.5294680777,-0.2194004467,0.8912495811,0.5860738319,0.6710181645,4,2.305595422,1.4196579209,no,no,no,no,no,no
3991,LIPE,-2.06717737,-0.7454156611,0.7272246674,1.0496398195,0.4715739208,1.0207818988,0.1300561722,-0.5020793057,-0.0846041419,3,2.3509174668,2.3702380092,no,no,no,no,no,no
3993,LLGL2,1.9552421178,1.5050065339,-0.4433454213,-0.5663521563,-0.7847060972,-0.5037708764,-0.5676839337,-0.4116722161,-0.1827179508,2,2.3526172353,5.0102852347,no,no,no,no,no,no
399474,TMEM200B,1.3609267052,-0.142166133,0.3360906509,1.0630973686,1.0521472067,-0.4586728912,-1.281754508,-0.7881493065,-1.1415190927,2,2.0398904473,4.4965448949,no,no,no,no,no,no
3995,FADS3,2.5581385275,-0.2241644767,-0.3764050301,-0.2853549633,-0.5453024749,-0.6430687114,-0.5625857842,-0.2363768118,0.3151197249,1,2.7798411903,5.4677015081,no,no,no,no,no,no
399512,SLC25A35,1.4130522145,-0.0770145119,0.8529261504,0.7750317252,0.7086491382,-0.1512626167,-1.141637829,-1.2577053908,-1.1220388798,2,2.3640816799,4.416641376,no,no,no,no,no,no
399664,MEX3D,1.3006841086,1.7565500344,0.4295226538,-0.3519648274,-0.3315126334,-1.0808880149,-0.7812932836,0.0693178151,-1.0104158526,2,2.2485806659,4.5338158251,no,no,no,no,no,no
399668,LINC00086,-1.5758503967,-0.8927162345,-0.9568872328,-0.2395574508,-0.1038338455,0.6261219875,1.2084209397,0.8869066132,1.0473956199,5,2.7130665764,1.3239951006,no,no,no,no,no,no
399669,ZNF321P,2.2411677764,-0.414112347,-0.4086468238,-0.2264652726,0.8783657626,-0.7171176289,-0.8327676065,0.2259427394,-0.7463665996,1,2.3226745901,5.2934039534,no,no,no,no,no,no
399670,RPL13AP17,-0.4134490566,0.4195642569,-1.4898995734,-0.6178293828,-0.574542057,0.8843347589,-0.7117889404,0.8653530027,1.6382569917,6,1.7812238707,0.8086196272,no,no,no,no,no,no
399671,HEATR4,2.4876024924,0.0268506632,-0.0082066069,-0.4729535051,0.1894787401,-1.0342267607,-0.3292635182,-0.38361623,-0.4756652748,1,2.6837146027,5.1720352785,no,no,no,no,no,no
399694,SHC4,-1.2642859245,-1.1745099067,-0.9665610841,1.7138752274,0.6864712349,0.7831483621,0.2157205571,-0.0953686165,0.1015101504,4,1.7226754059,1.7417623318,no,no,no,no,no,no
399697,CTXN2,-1.3342641496,0.4686840359,-1.1153102399,-0.6331855159,1.8276268371,-0.5395196364,0.2539684565,0.3300387915,0.741961421,4,1.599835525,1.7500275756,no,no,no,no,no,no
399717,FLJ45983,-1.2310743926,-0.7781112275,-1.1765445903,0.9478443068,1.7729828931,0.0097800916,-0.3446862909,0.4839068065,0.3159024033,4,1.7120974998,1.6465250459,no,no,no,no,no,no
399726,C10orf114,-1.5645572518,1.2308798641,0.4476323334,-0.3005924198,-0.0207994895,-1.3415598911,0.7255897823,1.1467780771,-0.3233710048,3,1.5462682307,2.4083363766,no,no,no,no,no,no
3998,LMAN1,-1.904621571,-0.168263165,0.3830013797,-0.2221058172,-0.3842352132,1.795229875,0.5784644652,0.4302928423,-0.5077627959,4,2.0744119685,2.1830469866,no,no,no,no,no,no
399821,FLJ37035,-1.1025592911,0.4380633056,-1.4613933396,0.5924958925,-0.0840502833,-0.4713080087,-0.1693960918,1.9347522463,0.3233955701,5,1.7641115997,1.2965506949,no,no,no,no,no,no
399827,FLJ46300,-1.0666851581,-0.887291406,-0.6599000918,-0.4301910645,-0.3208610178,-0.0284439264,0.3562909798,2.0715903694,0.9654913155,6,2.5919842161,1.0637062657,no,no,no,no,no,no
399876,NAV2-AS4,-0.5642814919,-0.3979243614,-0.5642814919,-0.5642814919,-0.5642814919,-0.2458422565,0.2997624331,0.0687438982,2.532386254,6,2.0580192877,0.8740724801,no,no,no,no,no,no
399888,FAM180B,-0.5988954923,-0.5348445209,-0.6019309677,-0.5565734099,-0.4665471358,-0.5637907979,-0.1598735109,1.5704422022,1.9120136332,6,2.4069645007,0.8398648121,no,no,no,no,no,no
399947,C11orf87,-0.4486498989,-0.117664817,-0.6055772208,-0.6784515135,-0.5909572893,-0.5251470936,-0.2552218087,0.8766270053,2.3450426365,6,2.0920605478,0.7774887614,no,no,no,no,no,no
399949,C11orf88,-1.1872321587,-1.192268564,-1.0277261625,0.9974907453,0.187741474,-0.082823641,-0.031924273,1.5833760505,0.7533665293,5,2.4044930361,1.2068442309,no,no,no,no,no,no
399959,MIR100HG,-1.3161728694,-1.2615702221,-0.9159672366,-0.4626122582,0.340210407,0.7322079458,1.3149985234,0.7092923738,0.8596133362,5,2.5686924164,1.2643626572,no,no,no,no,no,no
399967,PATE2,2.4940803307,0.1742490772,0.1421379227,-0.1074903463,-0.2425398739,-0.3089468464,-0.7751854524,-0.7751854524,-0.6011193592,1,2.8058263075,5.0141686854,no,no,no,no,no,no
399972,FLJ39051,-1.870180832,-0.0571943091,-0.1689882978,0.0481213998,-0.6512273422,-0.0413682229,0.1708107377,1.8811577179,0.6888691486,5,2.3526749407,1.5506480143,no,no,no,no,no,no
400,ARL1,-1.2804953144,-1.2512566634,-0.6032629908,-0.0203387508,-0.1325368566,1.8547343055,0.5011227788,0.8450127843,0.0870207074,4,2.0870061318,1.4276034376,no,no,no,no,no,no
400027,LOC400027,-2.2986939163,-0.2511064851,-0.1025978409,0.0402888951,1.3972962761,-0.0543640819,0.4333387895,0.6902375363,0.1456008271,4,2.5485175162,2.0215067712,no,no,no,no,no,no
400043,LOC400043,-1.2627174347,-1.0964505193,-0.9148782153,0.6734131142,-0.255245977,0.2092920507,1.6304196115,1.0690354318,-0.052868062,4,2.2039155919,1.3599786209,no,no,no,no,no,no
400046,FLJ41278,2.6028288687,-0.6226714264,-0.3733918222,-0.302634502,-0.4777675183,-0.2171501429,-0.5079517276,0.1337534725,-0.2350152019,1,2.7842340753,5.5005524898,no,no,no,no,no,no
